gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-423.27,-140.87,-218.91,-0.01,-0.10,1.09,576,1698,1293
-428.29,-143.77,-238.44,-0.33,0.59,0.45,578,1697,1313
-415.85,-165.77,-155.37,0.74,0.71,-0.49,575,1696,1418
-409.80,-168.54,-130.84,0.72,0.79,-0.32,571,1697,1446
-407.68,-173.60,-141.28,0.06,0.48,-0.07,571,1697,1471
-402.29,-179.96,-165.22,0.09,0.63,-0.27,567,1694,1490
-393.69,-184.61,-178.44,0.24,0.73,-0.33,566,1698,1520
-345.92,-211.28,-189.81,0.42,0.90,-0.89,560,1703,1627
-334.20,-216.11,-179.30,0.57,0.77,-0.84,560,1694,1648
-306.44,-215.25,-183.11,0.19,1.06,-0.99,562,1696,1671
-288.38,-221.39,-179.17,0.42,1.13,-0.88,560,1697,1681
-272.44,-218.64,-165.89,0.35,1.10,-0.87,560,1702,1706
-131.05,-190.18,-146.62,0.73,1.76,-1.28,546,1709,1745
-99.45,-189.79,-117.00,0.41,1.48,-1.02,542,1712,1754
-71.56,-192.89,-110.88,0.05,1.56,-0.98,539,1712,1762
-45.72,-189.27,-130.71,-0.30,1.52,-0.98,529,1726,1762
-16.98,-188.00,-137.45,0.06,1.63,-1.09,527,1729,1776
112.06,-184.41,-169.75,0.20,1.55,-1.02,499,1744,1765
142.75,-183.97,-156.88,0.36,1.52,-1.09,498,1749,1766
121.62,-181.89,-160.49,0.12,1.98,0.29,496,1750,1766
147.15,-180.95,-135.71,0.59,1.68,-0.66,496,1750,1765
164.92,-183.54,-125.91,0.38,1.62,-0.76,496,1750,1765
