gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-47.06,-12.63,-43.86,-0.11,0.20,1.44,1166,1840,1109
-37.70,-4.14,-22.21,0.51,1.13,0.32,1163,1855,1122
-21.68,-0.76,6.72,0.30,0.89,0.39,1155,1869,1154
-20.25,6.53,32.35,0.50,0.93,0.29,1162,1877,1167
-22.37,10.31,34.65,0.14,0.80,0.45,1161,1878,1179
-21.88,8.51,35.50,0.19,0.95,0.39,1159,1879,1187
-24.61,7.76,38.90,0.15,0.88,0.53,1158,1893,1199
-23.70,7.41,37.53,0.09,0.93,0.37,1152,1898,1210
-17.88,3.55,46.19,0.27,1.06,0.36,1152,1899,1221
-12.22,-8.30,62.20,-0.02,1.00,0.27,1136,1910,1264
-10.58,-10.63,52.05,-0.11,0.90,0.31,1136,1915,1270
-8.51,-11.11,52.00,-0.02,0.96,0.25,1130,1919,1274
-7.27,-14.25,47.27,-0.11,0.87,0.38,1127,1923,1280
-4.66,-16.31,39.09,-0.13,0.96,0.27,1123,1925,1286
-2.58,-18.25,33.55,-0.12,1.01,0.30,1124,1930,1295
-2.46,-23.09,12.08,-0.10,0.97,0.34,1109,1943,1306
0.65,-22.45,19.97,0.09,1.11,0.34,1104,1943,1307
3.54,-24.21,21.18,-0.10,1.07,0.41,1104,1946,1306
5.22,-24.24,14.95,-0.18,1.03,0.36,1104,1947,1309
5.16,-20.50,13.79,-0.13,1.01,0.34,1100,1947,1303
6.07,-17.32,15.47,-0.06,1.06,0.32,1098,1949,1303
5.68,-16.77,11.09,-0.17,0.99,0.42,1094,1950,1306
-2.72,-7.58,0.39,-0.07,0.97,0.36,1086,1962,1309
-3.07,-6.34,1.48,-0.07,0.95,0.41,1077,1959,1303
-3.97,-5.58,0.06,-0.11,0.97,0.41,1070,1963,1303
-5.28,-5.60,0.49,-0.02,1.00,0.42,1061,1967,1309
-7.76,-6.37,0.92,-0.03,1.01,0.46,1047,1968,1306
-11.25,-6.04,-3.20,-0.10,0.90,0.45,1039,1968,1307
-11.62,-3.06,-5.08,-0.07,0.89,0.33,1030,1968,1307
-4.37,-6.28,-26.39,-0.01,0.99,0.25,972,1994,1309
-5.10,-3.92,-21.86,0.00,0.95,0.31,960,1999,1303
-1.96,-5.06,-20.27,0.12,0.96,0.29,955,2000,1307
-6.74,-5.90,-22.73,0.09,0.82,0.38,944,2009,1308
